ACCT_ID,ACCT_NAME,TRAN_AM,TRAN_EXEC_DT,TRAN_EXEC_PRICE_PER_SHR_AM,TRAN_SHR_QY,TRAN_SUBOR_TYPE_CD_DESC_TX
57540,Managed Brokerage,29089,4/8/2009,2908,10,REGULAR TRADE
57540,Managed Brokerage,27620,3/30/2009,2762,10,REGULAR TRADE
57540,Managed Brokerage,4,2/23/2009,0,0,COMMISSION
57540,Managed Brokerage,1950,2/23/2009,3,500,REGULAR TRADE
57540,Managed Brokerage,29030,2/10/2009,2903,10,REGULAR TRADE
57540,Managed Brokerage,8,1/23/2009,0,0,COMMISSION
57540,Managed Brokerage,28798,1/23/2009,2879,10,REGULAR TRADE
57540,Managed Brokerage,8,1/22/2009,0,0,COMMISSION
57540,Managed Brokerage,8,1/22/2009,0,0,COMMISSION
57540,Managed Brokerage,31519,1/15/2009,0,0,MISC FUND CASHERING
57540,Managed Brokerage,406,1/15/2009,1,406,REGULAR TRADE
57540,Managed Brokerage,8,1/9/2009,0,0,COMMISSION
57540,Managed Brokerage,8,1/9/2009,0,0,COMMISSION
57540,Managed Brokerage,31510,1/9/2009,3151,10,REGULAR TRADE
57540,Managed Brokerage,8,1/2/2009,0,0,COMMISSION
57540,Managed Brokerage,10260,1/2/2009,10,1000,REGULAR TRADE
57540,Managed Brokerage,30070,12/31/2008,3007,10,REGULAR TRADE
57540,Managed Brokerage,31140,12/30/2008,3114,10,REGULAR TRADE
57540,Managed Brokerage,31559,12/29/2008,0,0,MISC FUND CASHERING
57540,Managed Brokerage,30575,12/29/2008,3057,10,REGULAR TRADE
57540,Managed Brokerage,31988,12/26/2008,0,0,MISC FUND CASHERING
57540,Managed Brokerage,101,12/26/2008,0,0,MISC FUND CASHERING
57540,Managed Brokerage,160,12/26/2008,0,0,DIVIDEND
57540,Managed Brokerage,9827,12/24/2008,1,9827,REGULAR TRADE
33131,Managed Retirement,31019,12/30/2008,0,0,MISC FUND CASHERING
33131,Managed Retirement,261,12/30/2008,1,261,REGULAR TRADE
83305,Finance One,1289,2/23/2009,0,0,MISC FUND CASHERING
83305,Finance One,788,2/23/2009,0,0,MISC FUND CASHERING
83305,Finance One,6884,2/17/2009,0,0,JOURNAL
83305,Finance One,10000,2/4/2009,0,0,JOURNAL
83305,Finance One,10000,2/4/2009,0,0,JOURNAL
83305,Finance One,1283,1/21/2009,0,0,FUNDS IN
83305,Finance One,249,1/16/2009,1,249,REGULAR TRADE
83305,Finance One,60,1/2/2009,0,0,MISC FUND CASHERING
83305,Finance One,1880,12/31/2008,0,0,JOURNAL
83305,Finance One,1880,12/31/2008,1,1880,REGULAR TRADE
83305,Finance One,1880,12/30/2008,0,0,FUNDS IN
83305,Finance One,389,12/29/2008,0,0,MISC FUND CASHERING
83305,Finance One,2030,12/24/2008,1,2030,REGULAR TRADE
